Station #,Station Name,# of Racks,Latitude,Longitude
1000,Liberty Ave & Stanwix St,16,40.441326,-80.004679
1001,Forbes Ave & Market Square,19,40.440877,-80.00308
1002,Third Ave & Wood St,15,40.43903,-80.00186
1003,First Ave & Smithfield St (Art Institute),15,40.4372,-80.000375
1004,First Ave & B St (T Station),15,40.435887,-79.997102
1005,Forbes Ave & Grant St,19,40.438882,-79.997592
1006,Ross St & Sixth Ave (Steel Plaza T Station),21,40.440193,-79.995084
1007,Stevenson St & Forbes Ave,19,40.437643,-79.986695
1008,Centre Ave & PPG Paints Arena,35,40.440368,-79.988636
1009,12th St & Penn Ave,19,40.445844,-79.99238
1010,10th St & Penn Ave (David L. Lawrence Convention Center),15,40.444665,-79.995798
1011,Fort Duquesne Blvd & 7th,15,40.444777,-80.000831
1012,North Shore Trail & Ft Duquesne Bridge,35,40.445834,-80.008882
1013,Isabella St & Federal St (PNC Park),15,40.447166,-80.003566
1014,Ridge Ave & Brighton Rd (CCAC),19,40.450595,-80.013204
1015,Federal St & E North Ave,12,40.45509087,-80.0063467
1016,17th St & Penn Ave,19,40.449631,-79.985893
1017,21st St & Penn Ave,18,40.451742,-79.983217
1018,37th St & Butler St,21,40.466103,-79.964628
1019,42nd St & Butler St,17,40.47021248,-79.96066332
1020,42nd St & Penn Ave (Children's Hospital),15,40.465893,-79.954417
1021,Taylor St & Liberty Ave,19,40.462769,-79.950867
1022,Liberty Ave & S Millvale (West Penn Hospital),15,40.459812,-79.945548
1023,Liberty Ave & Baum Blvd,19,40.456505,-79.939362
1024,S Negley Ave & Baum Blvd,17,40.458714,-79.933483
1025,Penn Ave & N Fairmount St,15,40.464443,-79.933188
1026,Penn Ave & S Whitfield St,13,40.461603,-79.925624
1027,Shady Ave & Ellsworth Ave,19,40.458972,-79.922023
1028,Penn Ave & Putnam St (Bakery Square),19,40.455821,-79.915248
1029,Alder St & S Higland Ave,19,40.457415,-79.92492
1030,S Euclid Ave & Centre Ave,12,40.458933,-79.929123
1031,Maryland Ave & Ellsworth Ave,19,40.45628,-79.930962
1032,Walnut St & College St,14,40.453382,-79.92731
1033,Ivy St & Walnut St,19,40.45177,-79.932324
1034,Ellsworth Ave & N Neville St,15,40.448419,-79.947401
1035,Fifth Ave & S Dithridge St,19,40.446744,-79.950881
1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),19,40.442398,-79.951479
1037,Frew St & Schenley Dr,20,40.441032,-79.948042
1038,Boulevard of the Allies & Parkview Ave,19,40.434338,-79.951877
1039,Atwood St & Bates,19,40.437987,-79.95367
1040,Bigelow Blvd & Fifth Ave,21,40.444708,-79.955025
1041,Fifth Ave & S Bouquet St,19,40.442325,-79.957604
1042,Centre Ave & Kirkpatrick St,12,40.445236,-79.976911
1043,Coltart Ave & Forbes Ave,15,40.438876,-79.960179
1044,Zulema St & Coltart Ave,19,40.435986,-79.956942
1045,S 27th St & Sidney St. (Southside Works),19,40.427899,-79.966112
1046,S 25th St & E Carson St,19,40.42802,-79.969799
1047,S 22nd St & E Carson St,19,40.428576,-79.974559
1048,S 18th St & Sidney St,16,40.429338,-79.980684
1049,S 12th St & E Carson St,19,40.428661,-79.986358
